Chromophore,Solvent,Emission max (nm)
CCCCCCCCC1(CCCCCCCC)c2cc(-c3ccc([N+](=O)[O-])cc3)ccc2-c2ccc(-c3ccc([N+](=O)[O-])cc3)cc21,C1CCCCC1,503.103
CCCCCCCCC1(CCCCCCCC)c2cc(-c3ccc([N+](=O)[O-])cc3)ccc2-c2ccc(-c3ccc([N+](=O)[O-])cc3)cc21,Cc1ccccc1,505.58
CCCCCCCCC1(CCCCCCCC)c2cc(-c3ccc([N+](=O)[O-])cc3)ccc2-c2ccc(-c3ccc([N+](=O)[O-])cc3)cc21,CCO,550.912
COc1ccc(/C=C(\C#N)c2nc(-c3ccc(OC)cc3)cs2)cc1,CC#N,547.818
COc1ccc(-c2csc(/C(C#N)=C/c3ccc([N+](=O)[O-])cc3)n2)cc1,CC#N,546.878
N#C/C(=C/Nc1ccc(C#N)cc1)c1nc(-c2ccccc2)cs1,CC#N,453.958
COc1ccc(-c2csc(/C(C#N)=N\Nc3ccc(C#N)cc3)n2)cc1,CN(C)C=O,499.733
N#C/C(=N/Nc1ccc(C#N)cc1)c1nc(-c2ccccc2)cs1,CN(C)C=O,490.436
N#C/C(=N/Nc1ccc(C#N)cc1)c1nc(-c2ccccc2)cs1,CC#N,492.568
c1ccc(-c2csc(-c3ccncc3)n2)cc1,CS(C)=O,444.256
COc1ccc2cc3c(C)cc(=O)oc3cc2c1,CCCCCC,443.903
O=[N+]([O-])c1ccc(C#Cc2ccccc2C#Cc2ccc([N+](=O)[O-])cc2)cc1,CC#N,544.709
COc1ccc2c(c1)C(=O)c1ccccc1-2,CCO,555.992
COc1cccc2c1-c1ccccc1C2=O,CCO,551.143
COc1cc(OC)c2c(c1)C(=O)c1ccccc1-2,CCO,535.543
COc1cc(OC)c2c(c1)C(=O)c1ccc(OC)cc1-2,CCO,531.322
COc1ccc2c(c1)C(=O)c1cc(OC)cc(OC)c1-2,CCO,487.899
COc1cc(OC)c2c(c1)C(=O)c1cc(OC)cc(OC)c1-2,CC#N,469.74
COc1cc(OC)c2c(c1)C(=O)c1cc(OC)cc(OC)c1-2,CCO,474.877
F[B-]1(F)n2c(c(-c3ccccc3)c3ccccc32)C(c2ccccc2)=C2C(c3ccccc3)=c3ccccc3=[N+]21,ClCCl,628.679
F[B-]1(F)C2=C(C=c3c4cccc5cccc(c54)n31)c1cccc3ccc[n+]2c13,CS(C)=O,564.389
CC1=c2c3c4cccc5cccc(c=3c(C)[n+]2[B-](F)(F)n2c(C)c3c(c21)-c1cccc2cccc-3c12)c54,ClC(Cl)Cl,602.276
CCCCCCOc1ccc2c(c1)C1=[N+]3C2=Cc2c4ccc(OCCCCCC)cc4c4n2[B-]3(Oc2ccccc21)Oc1ccccc1-4,C1CCOC1,660.575
CCCCCCc1ccsc1-c1ccc2c(c1)C1=[N+]3C2=Cc2c4ccc(-c5sccc5CCCCCC)cc4c4n2[B-]3(Oc2ccccc21)Oc1ccccc1-4,C1CCOC1,687.421
F[B-]1(F)n2c(c(-c3ccccc3)c(-c3cccs3)c2-c2ccccc2)N=C2C(c3ccccc3)=C(c3cccs3)C(c3ccccc3)=[N+]21,ClCCl,721.246
CN(C)c1ccc2nc(-c3ccc(C=C(C#N)C#N)cc3)sc2c1,CC#N,558.186
CN(C)c1ccc2nc(-c3ccc(C=C4C(=O)c5ccccc5C4=O)cc3)sc2c1,CC#N,591.066
CN(C)c1ccc2nc(-c3ccc(C=C(C#N)C#N)cc3)sc2c1,CO,562.141
CN(C)c1ccc2nc(-c3ccc(C=C4C(=O)c5ccccc5C4=O)cc3)sc2c1,CO,595.506
CCCCN1c2ccccc2Sc2cc(/C=C/c3nc4nc5ccccc5nc4s3)ccc21,CS(C)=O,668.228
CCCCN1c2ccccc2Sc2cc(/C=C/c3nc4nc5ccccc5nc4s3)ccc21,CC(C)O,664.135
CCCCN1c2ccccc2Sc2cc(/C=C/c3nc4nc5ccccc5nc4s3)ccc21,CC#N,669.16
CCCCN1c2ccccc2Sc2cc(/C=C/c3nc4nc5ccccc5nc4s3)ccc21,CO,666.558
CN(c1ccccc1)c1c([O-])/c(=[N+](\C)c2ccccc2)c1=O,CN(C)C=O,520.997
N#Cc1c(F)c(F)c(C#N)c2oc3cc4oc5c(C#N)c(F)c(F)c(C#N)c5oc4cc3oc12,CC#N,460.858
N#Cc1c(F)c(F)c(C#N)c2oc3cc4oc5c(C#N)c(F)c(F)c(C#N)c5oc4cc3oc12,CS(C)=O,466.167
N#Cc1c(F)c(F)c(C#N)c2oc3cc4oc5c(C#N)c(F)c(F)c(C#N)c5oc4cc3oc12,CN(C)C=O,457.633
N#Cc1c(F)c(F)c(C#N)c2oc3cc4oc5c(C#N)c(F)c(F)c(C#N)c5oc4cc3oc12,CC(C)=O,460.839
N#Cc1c(F)c(F)c(C#N)c2oc3cc4oc5c(C#N)c(F)c(F)c(C#N)c5oc4cc3oc12,CCCCCC,438.123
CC1=CC(C)=[N+]2C1=C(c1ccc(I)cc1)c1c(C)cc(C)n1[B-]21Oc2ccccc2O1,ClC(Cl)Cl,562.835
CN(C)c1ccc(C2=Nc3scc(-c4ccc(N(C)C)cc4)[n+]3[B-](F)(F)O2)cc1,CC#N,542.228
Cc1cc2ccccc2c2c1c1ccccc1n2-c1ncccn1,ClCCl,443.014
CCN(CC)c1ccc2cc(/C=C/C(=O)c3cc4ccc(N(CC)CC)cc4oc3=O)c(=O)oc2c1,O,573.863
c1ccc2c(P(c3c4ccccc4cc4ccccc34)c3c4ccccc4cc4ccccc34)c3ccccc3cc2c1,C1CCOC1,466.362
C(#Cc1ncc(-c2ccccc2)o1)c1ccco1,ClCCl,400.263
C(#Cc1cccs1)c1ncc(-c2ccccc2)o1,ClCCl,424.945
Cc1cc(=O)oc2c1cc(Cl)c1occ(C)c12,C1CCCCC1,401.189
O=CC1=Cc2cocc2C=C(C=O)C1,ClC(Cl)Cl,432.531
Cc1oc(C)c2c1C=C(C=O)CC(C=O)=C2,ClC(Cl)Cl,444.802
COc1ccc2cc(C3=[N+]4C(=Nc5c(-c6ccc7ccccc7c6)c(Br)c(-c6ccc7cc(OC)ccc7c6)n5[B-]4(F)F)C(c4ccc5ccccc5c4)=C3Br)ccc2c1,ClCCl,729.483
Cc1nc2c(ccc3c2sc(/C=C/c2ccc(N(c4ccccc4)c4ccccc4)cc2)[n+]3C)s1,ClC(Cl)Cl,641.972
COC(=O)c1ccc(/C=C2\N=C(c3ccccc3)OC2=O)cc1,C1COCCO1,453.417
CCC1=C(C2=C(C3=C(CC)S(=O)(=O)c4ccccc43)C(F)(F)C(F)(F)C2(F)F)c2ccccc2S1(=O)=O,C1COCCO1,536.659
CCC1=C(C2=C(C3=C(CC)S(=O)(=O)c4cc(-c5ccccc5)ccc43)C(F)(F)C(F)(F)C2(F)F)c2ccc(-c3ccccc3)cc2S1(=O)=O,C1COCCO1,538.892
CCC1=C(C2=C(C3=C(CC)S(=O)(=O)c4cc(-c5ccc(C(C)=O)cc5)ccc43)C(F)(F)C(F)(F)C2(F)F)c2ccc(-c3ccc(C(C)=O)cc3)cc2S1(=O)=O,C1COCCO1,551.905
CCC1=C(C2=C(C3=C(CC)S(=O)(=O)c4cc(-c5ccc(CO)cc5)ccc43)C(F)(F)C(F)(F)C2(F)F)c2ccc(-c3ccc(CO)cc3)cc2S1(=O)=O,C1COCCO1,551.889
CCC1=C(C2=C(C3=C(CC)S(=O)(=O)c4cc(-c5ccc(C)s5)ccc43)C(F)(F)C(F)(F)C2(F)F)c2ccc(-c3ccc(C)s3)cc2S1(=O)=O,C1COCCO1,598.787
CCC1=C(C2=C(C3=C(CC)S(=O)(=O)c4cc(-c5ccc(C(C)=O)s5)ccc43)C(F)(F)C(F)(F)C2(F)F)c2ccc(-c3ccc(C(C)=O)s3)cc2S1(=O)=O,C1COCCO1,557.065
CCCCCCCCc1ccc(-n2c3c4ccccc4nnc3c3c2c2nnc4ccccc4c2n3-c2ccc(CCCCCCCC)cc2)cc1,Cc1ccccc1,476.9
CCCCCCc1ccc(-n2c3c4cccc(OC)c4nnc3c3c2c2nnc4c(OC)cccc4c2n3-c2ccc(CCCCCC)cc2)cc1,Cc1ccccc1,477.42
CCCCc1ccc(-n2c3c4ccc(C(F)(F)F)cc4nnc3c3c2c2nnc4cc(C(F)(F)F)ccc4c2n3-c2ccc(CCCC)cc2)cc1,Cc1ccccc1,485.251
CCCCc1ccc(-n2c3c4cc(F)ccc4nnc3c3c2c2nnc4ccc(F)cc4c2n3-c2ccc(CCCC)cc2)cc1,Cc1ccccc1,483.37
O=C([O-])c1ccccc1C1=c2cc3c4c(c2Oc2c1cc1c5c2CCCN5CCC1)CCC[N+]=4CCC3,CO,604.036
CN(C)c1ccc(-c2cc(=O)c3ccccc3o2)cc1,C1CCOC1,462.842
CN(C)c1ccc2c(c1)COc1c-2oc2ccccc2c1=O,CCOCC,466.938
CN(C)c1ccc(-c2cc(=O)c3ccccc3o2)cc1,C1CCOC1,462.842
CC(C)(C)c1ccc(-c2cc3c4c(c2)CCc2cc(-c5ccc(C(C)(C)C)cc5)cc(c2-4)CC3)cc1,Cc1ccccc1,382.83
COc1ccc(-c2cc3c4c(c2)CCc2cc(-c5ccc(OC)cc5)cc(c2-4)CC3)cc1,Cc1ccccc1,383.861
Fc1ccc(-c2cc3c4c(c2)CCc2cc(-c5ccc(F)cc5)cc(c2-4)CC3)cc1,Cc1ccccc1,376.177
c1ccc(-c2nc(-c3ccccc3)nc(-c3cc(-n4c5ccccc5c5ccccc54)c(-n4c5ccccc5c5ccccc54)c(-n4c5ccccc5c5ccccc54)c3)n2)cc1,c1ccc(-c2nc(-c3ccccc3)nc(-c3cc(-n4c5ccccc5c5ccccc54)c(-n4c5ccccc5c5ccccc54)c(-n4c5ccccc5c5ccccc54)c3)n2)cc1,465.594
c1ccc(-c2nc(-c3ccccc3)nc(-c3cc(-n4c5ccccc5c5ccccc54)c(-n4c5ccccc5c5ccccc54)c(-n4c5ccccc5c5ccccc54)c3)n2)cc1,O=P(c1ccccc1)(c1ccccc1)c1ccccc1Oc1ccccc1P(=O)(c1ccccc1)c1ccccc1,465.942
Cc1ccc2c(c1)c1cc(C)ccc1n2-c1cc(-c2nc(-c3ccccc3)nc(-c3ccccc3)n2)cc(-n2c3ccc(C)cc3c3cc(C)ccc32)c1-n1c2ccc(C)cc2c2cc(C)ccc21,O=P(c1ccccc1)(c1ccccc1)c1ccccc1Oc1ccccc1P(=O)(c1ccccc1)c1ccccc1,474.739
Nc1ccncc1,CCO,352.294
COc1cc(OC)cc(C2=[O+][B-](F)(F)OC(c3cccs3)=C2)c1,CC#N,552.0
CN1C(C(=O)Nc2ccccn2)=C([O-])c2ccccc2S1(=O)=O,CO,462.769
CC1=[N+]2C(=C(c3ccc(N(C)C)cc3)c3ccc(C)n3[B-]2(F)F)C=C1,C1CCOC1,531.166
CC1=[N+]2C(=C(c3ccc(N4CCOCC4)cc3)c3ccc(C)n3[B-]2(F)F)C=C1,CC#N,527.329
CCN(CC)c1ccc2c(c1)oc(=O)c1cc3cnn(-c4ccccc4)c3nc12,CO,493.426
CCN(CC)c1ccc2c(c1)oc(=O)c1cc3c(C)nn(-c4ccccc4)c3nc12,CO,495.995
CCN(CC)c1ccc2c(c1)oc(=O)c1cc3c(-c4ccccc4)nn(-c4ccccc4)c3nc12,CO,503.469
CCN(CC)c1ccc2c(c1)oc(=O)c1cc3c(-c4ccccc4)nn(C)c3nc12,CO,502.798
Nc1ccncc1,CC#N,351.094
COc1cc2[nH]c3c(c2cc1OCC(=O)O)CCCC3=O,c1ccccc1,403.648
CC1=[N+]2C(=C(c3ccc(N4CCCCC4)cc3)c3ccc(C)n3[B-]2(F)F)C=C1,CC#N,521.492
N#Cc1ccc(/C=C/c2c3ccccc3cc3ccccc23)cc1,CC#N,498.37
CC1=[N+]2C(=C(c3ccc(N(C)C)cc3)c3ccc(C)n3[B-]2(F)F)C=C1,CCOC(C)=O,516.225
Cn1c2ccccc2c2c1c1ccc(I)cc1n2C,CCCO,454.84
CC1=[N+]2C(=C(c3ccc(N4CCCCC4)cc3)c3ccc(C)n3[B-]2(F)F)C=C1,CO,517.993
CC1=[N+]2C(=C(c3ccc(N4CCOCC4)cc3)c3ccc(C)n3[B-]2(F)F)C=C1,CO,525.348
Cn1ccc(-c2nc3ccccc3nc2/C=C/N2CCCC2)c1,CO,527.401
C(=C/N1CCCC1)\c1nc2ccccc2nc1-c1ccccc1,CO,541.601
CC1=[N+]2C(=C(c3ccc(N4CCCCC4)cc3)c3ccc(C)n3[B-]2(F)F)C=C1,CCOC(C)=O,522.578
CN(C)c1ccc(-c2cc(=O)c3ccccc3o2)cc1,C1CCCCC1,418.186
F[B-]1(F)n2c(/C=C/c3ccc(C(=C(c4ccccc4)c4ccccc4)c4ccccc4)cc3)ccc2C(c2ccc(C(=C(c3ccccc3)c3ccccc3)c3ccccc3)cc2)=C2C=CC(/C=C/c3ccc(C(=C(c4ccccc4)c4ccccc4)c4ccccc4)cc3)=[N+]21,F[B-]1(F)n2c(/C=C/c3ccc(C(=C(c4ccccc4)c4ccccc4)c4ccccc4)cc3)ccc2C(c2ccc(C(=C(c3ccccc3)c3ccccc3)c3ccccc3)cc2)=C2C=CC(/C=C/c3ccc(C(=C(c4ccccc4)c4ccccc4)c4ccccc4)cc3)=[N+]21,658.082
Cc1c(OCC(=O)O)cc2c3c([nH]c2c1C)C(=O)CCC3,c1ccccc1,413.957
CC1=[N+]2C(=C(c3ccc(N4CCOCC4)cc3)c3ccc(C)n3[B-]2(F)F)C=C1,CCOC(C)=O,524.779
COc1ccc(-c2nc3ccccc3nc2/C=C/N2CCCC2)s1,CO,569.422
Cc1ccc(-[c+]2c3ccccc3sc3ccccc32)cc1,CC#N,460.627
COc1cccc2c1C(=O)c1ccccc1-2,CO,550.936
O=c1c2ccccc2sc2ccccc12,c1ccccc1,422.88
O=c1c2ccccc2sc2ccccc12,C1CCOC1,436.885
O=C1c2ccccc2-c2cccc(O)c21,CO,543.937
Cn1cc(-c2nc3ccccc3nc2/C=C/N2CCCC2)c2ccccc21,CO,511.456
O=C1c2cc(F)ccc2-c2cnccc21,Cc1ccccc1,536.448
F[B-]1(F)n2c(/C=C/c3ccc(C(=C(c4ccccc4)c4ccccc4)c4ccccc4)cc3)ccc2C(c2ccccc2)=C2C=CC(/C=C/c3ccc(C(=C(c4ccccc4)c4ccccc4)c4ccccc4)cc3)=[N+]21,F[B-]1(F)n2c(/C=C/c3ccc(C(=C(c4ccccc4)c4ccccc4)c4ccccc4)cc3)ccc2C(c2ccccc2)=C2C=CC(/C=C/c3ccc(C(=C(c4ccccc4)c4ccccc4)c4ccccc4)cc3)=[N+]21,659.116
CCN(CC)c1ccc2c(c1)oc(=O)c1cc3c(-c4ccccc4)nn(-c4ccccc4)c3nc12,CN(C)C=O,501.329
Cc1ccc(-[c+]2c3ccccc3oc3ccccc32)cc1,CC#N,490.594
CCCCCCOc1ccc(N(c2ccc(OCCCCCC)cc2)c2ccc(-c3sc(-c4ccc(N(c5ccc(OCCCCCC)cc5)c5ccc(OCCCCCC)cc5)cc4)c4nc(-c5ccc(OC)cc5)c(-c5ccc(OC)cc5)nc34)cc2)cc1,ClC(Cl)Cl,743.937
O=c1c2ccccc2sc2ccccc12,C1COCCO1,433.181
CC1=[N+]2C(=C(c3ccc(C(=C(c4ccccc4)c4ccccc4)c4ccccc4)cc3)c3ccc(/C=C/c4ccc(C(=C(c5ccccc5)c5ccccc5)c5ccccc5)cc4)n3[B-]2(F)F)C=C1,CC1=[N+]2C(=C(c3ccc(C(=C(c4ccccc4)c4ccccc4)c4ccccc4)cc3)c3ccc(/C=C/c4ccc(C(=C(c5ccccc5)c5ccccc5)c5ccccc5)cc4)n3[B-]2(F)F)C=C1,644.201
CCN(CC)c1ccc2c(c1)oc(=O)c1cc3c(-c4ccccc4)nn(C)c3nc12,CN(C)C=O,501.527
C[Si](C)(c1cccc2ccccc12)[Si](C)(C)[Si](C)(C)[Si](C)(C)[Si](C)(C)[Si](C)(C)c1c2ccccc2cc2ccccc12,CC#N,435.519
CC1=[N+]2C(=C(c3ccccc3)c3ccc(/C=C/c4ccc(C(=C(c5ccccc5)c5ccccc5)c5ccccc5)cc4)n3[B-]2(F)F)C=C1,CC1=[N+]2C(=C(c3ccccc3)c3ccc(/C=C/c4ccc(C(=C(c5ccccc5)c5ccccc5)c5ccccc5)cc4)n3[B-]2(F)F)C=C1,644.806
Fc1ccc(-[c+]2c3ccccc3sc3ccccc32)cc1,CC#N,478.594
O=C1c2cc(F)ccc2-c2cnccc21,ClCCl,540.792
CC1[C@@H]2[C@@H]1[C@]1(c3ccccc3)N=NC2(c2ccccc2)C2C3C=CC(C3)C21,CC#N,505.836
CC1(C)c2ccccc2N(c2ccc(-c3nc(-c4ccccc4)cc(-c4ccccc4)n3)cc2)c2ccccc21,CC#N,492.831
O=C1c2ccccc2-c2cccc(O)c21,CCCO,531.976
COc1cccc2c1C(=O)c1ccccc1-2,CCCO,538.673
COc1c(-c2ccc(N(C)C)cc2)oc2ccccc2c1=O,CO,504.931
CCCCCCOc1ccc(N(c2ccc(OCCCCCC)cc2)c2ccc(-c3sc(-c4ccc(N(c5ccc(OCCCCCC)cc5)c5ccc(OCCCCCC)cc5)cc4)c4nc(-c5ccc(C(=O)OC)cc5)c(-c5ccc(C(=O)OC)cc5)nc34)cc2)cc1,CN(C)C=O,710.837
O=C1c2ccccc2-c2cccc(O)c21,CCOCC,511.771
O=C1c2ccccc2-c2cccc(O)c21,CCCCO,527.174
Cn1ccc(-c2nc3ccccc3nc2/C=C/N2CCCC2)c1,CCO,526.581
O=C1c2ccccc2-c2cnccc21,ClCCl,518.582
Cc1ccc2c(c1)C(=O)c1ccncc1-2,ClCCl,540.748
COc1cccc2c1C(=O)c1ccccc1-2,CCCCO,531.211
C(=C/N1CCCC1)\c1nc2ccccc2nc1-c1ccccc1,CCO,541.855
CCN(CC)c1ccc2c(c1)oc(=O)c1cc3cnn(-c4ccccc4)c3nc12,CN(C)C=O,486.549
O=c1c2ccccc2sc2ccccc12,CC(C)=O,441.385
O=C1c2ccccc2-c2cccc(O)c21,CC(C)O,539.061
c1cc2ccc3ccc4ccc5ccc1c1c2c3c4c51,C1CCCCC1,423.348
O=c1c2ccc(-c3ccc(N(c4ccccc4)c4ccccc4)cc3)cc2sc2cccc(-c3ccc(N(c4ccccc4)c4ccccc4)cc3)c12,c1ccc2c(c1)c1ccccc1n2-c1ccc(-c2ccc(-n3c4ccccc4c4ccccc43)cc2)cc1,532.865
N#Cc1ccc(C[C@H](N)C(=O)O)cc1,CC#N,298.609
CCCCCCOc1ccc(N(c2ccc(OCCCCCC)cc2)c2ccc(-c3sc(-c4ccc(N(c5ccc(OCCCCCC)cc5)c5ccc(OCCCCCC)cc5)cc4)c4nc(-c5ccc(C(=O)OC)cc5)c(-c5ccc(C(=O)OC)cc5)nc34)cc2)cc1,ClC(Cl)Cl,703.744
CC1(C)CC(/C=C/c2ccc(-n3ccnc3)cc2)=CC(=C(C#N)C#N)C1,CC1(C)CC(/C=C/c2ccc(-n3ccnc3)cc2)=CC(=C(C#N)C#N)C1,536.472
COc1cccc2c1C(=O)c1ccccc1-2,CC(C)O,547.016
N#Cc1ccc(/C=C/c2c3ccccc3cc3ccccc23)cc1,CO,489.439
CCCCCCCCC1(CCCCCCCC)c2cc3c(cc2-c2sc(-c4ccc(/C=C5\SC(=S)N(CC)C5=O)c5nsnc45)cc21)C(CCCCCCCC)(CCCCCCCC)c1cc(-c2ccc(/C=C4\SC(=S)N(CC)C4=O)c4nsnc24)sc1-3,C1CCOC1,603.069
COc1ccc(-c2nc3ccccc3nc2/C=C/N2CCCC2)s1,CCO,569.555
Cc1ccc2c(c1)C(=O)c1ccncc1-2,Cc1ccccc1,536.202
COC(=O)C12N=N[C@](C(=O)OC)(C3C4C=CC(C4)C31)[C@@H]1C[C@H]12,CC#N,515.427
Cc1ccc2c(c1)C(=O)c1ccncc1-2,CCOC(C)=O,536.469
C1=CC2CC1C1C2[C@@]2(c3ccccc3)N=NC1(c1ccccc1)[C@@H]1C[C@H]12,CC#N,507.973
CC1(C)CC(/C=C/c2ccc(-n3cncn3)cc2)=CC(=C(C#N)C#N)C1,CC1(C)CC(/C=C/c2ccc(-n3cncn3)cc2)=CC(=C(C#N)C#N)C1,518.481
COC(=O)[C@]12N=N[C@](C(=O)OC)(C3C4C5C4C5C31)C1C3C4C3C4C12,CC#N,515.87
COC(=O)[C@@]12N=N[C@@](C(=O)OC)(C3C4CCC(C4)C31)[C@@H]1CC12,CC#N,512.089
COC(=O)[C@]12N=N[C@](C(=O)OC)([C@H]3C1C3(C)C)[C@@H]1[C@H]2C1(C)C,CC#N,507.589
COC(=O)C12N=N[C@](C(=O)OC)(C3C4CCC(C4)C31)[C@@]1(C)C[C@@H]21,CC#N,527.207
CN(C)c1ccc(C=C2Cc3ccccc3C2=O)cc1,CCOCC,496.873
CCCCCCCCc1ccc(-c2c3cc(-c4cc(CCCCCCCC)c(-c5ccc(-c6sc(/C=C7\SC(=S)N(CC)C7=O)cc6CCCCCCCC)s5)s4)sc3c(-c3ccc(CCCCCCCC)s3)c3cc(-c4cc(CCCCCCCC)c(-c5ccc(-c6sc(/C=C7\SC(=S)N(CC)C7=O)cc6CCCCCCCC)s5)s4)sc23)s1,C1CCOC1,637.669
O=CC12N=N[C@](C=O)(C3C4CCC(C4)C31)C1[C@@H]3CC[C@@H](C3)[C@H]12,CC#N,546.051
O=C1c2ccccc2-c2cccc(O)c21,CC#N,524.112
CCCCCCCCC1(CCCCCCCC)c2cc3c(cc2-c2sc(-c4ccc(/C=C5\SC(SCC)=NC5=O)c5nsnc45)cc21)C(CCCCCCCC)(CCCCCCCC)c1cc(-c2ccc(/C=C4\SC(SCC)=NC4=O)c4nsnc24)sc1-3,C1CCOC1,667.789
Cc1ccc2sc3cc(CCC(=O)O)ccc3c(=O)c2c1,CC(C)O,453.369
CN(C)c1ccc(C=CC(=O)c2ccccc2)cc1,CCOCC,506.252
Cc1cc(N(C)C)cc(C)c1/C=C/C=C/c1ccc(C#N)cc1,CCCCOCCCC,524.344
O=c1c2ccccc2sc2ccccc12,CC#N,438.561
CN(C)c1ccc(/C=C/C=C/c2ccc(C#N)cc2)cc1,CCCCOCCCC,528.119
N#Cc1ccc(C[C@H](N)C(=O)O)cc1,CC(C)O,298.379
COc1ccc(-c2nc3ccccc3nc2/C=C/N2CCCC2)s1,C1CCCCC1,479.889
CC(C)(C)c1ccc2c(c1)c1cc(C(C)(C)C)ccc1n2-c1cc(C(=O)c2ccccn2)cc(-n2c3ccc(C(C)(C)C)cc3c3cc(C(C)(C)C)ccc32)c1,Cc1ccccc1,457.471
N#Cc1ccc(C[C@H](N)C(=O)O)cc1,CCCO,298.292
CC1(C)c2ccccc2N(c2ccc(-c3cc(-c4ccccc4)nc(-c4ccccc4)n3)cc2)c2ccccc21,CC#N,492.831
CN(C)c1ccc(C=C2Cc3ccccc3C2=O)cc1,CC(C)=O,524.177
CCCCCCCCc1ccc(-c2c3cc(-c4cc(CCCCCCCC)c(-c5ccc(-c6sc(/C=C7\SC(SCC)=NC7=O)cc6CCCCCCCC)s5)s4)sc3c(-c3ccc(CCCCCCCC)s3)c3cc(-c4cc(CCCCCCCC)c(-c5ccc(-c6sc(/C=C7\SC(SCC)=NC7=O)cc6CCCCCCCC)s5)s4)sc23)s1,C1CCOC1,645.168
N#Cc1ccc(C[C@H](N)C(=O)O)cc1,CCCCO,298.292
Cc1ccc2sc3cc(CCC(=O)O)ccc3c(=O)c2c1,CCO,456.683
CCC1(CC)c2cc(/C=C/c3ccc(/C=C(\C#N)C(=O)O)s3)ccc2-c2ccc(N(C)c3ccc(OC)cc3)cc21,CC#N,588.121
N#Cc1ccc(C[C@H](N)C(=O)O)cc1,NC=O,299.555
CCOC(=O)c1ccc2c(c1)sc1c3ccc(C(=O)OCC)cc3sc21,CCCO,452.008
Cc1cccc(-[c+]2c3ccccc3oc3ccccc32)c1,CC#N,496.111
Cc1cc(N(C)C)cc(C)c1/C=C/C=C/c1ccc(C#N)cc1,C1CCOC1,534.88
