Chromophore,Solvent,Quantum yield
N#Cc1cc2ccccc2[nH]1,CCO,0.2
NCCc1c[nH]c2ccc(O)cc12,CO,0.259
O=C1C=C(Nc2ccccc2)CCC1,CC1CCCCC1,0.26
CC(C)(C)[Si](C)(C)c1ccc([Si](C)(C)C(C)(C)C)c2ccccc12,C1CCCCC1,0.521
N#Cc1cc2ccccc2[nH]1,CO,0.199
N#Cc1cc2ccccc2[nH]1,CS(C)=O,0.199
NCCc1c[nH]c2ccc(O)cc12,CC(C)O,0.315
O=C1C=C(Nc2ccccc2)CCC1,C1CCCCC1,0.248
C[Si](C)(C)C#Cc1cccc2ccccc12,C1CCCCC1,0.346
O=C1CC(=O)Nc2cc(Cl)ccc2N1,CS(C)=O,0.512
O=C(N/N=C/c1ccccc1O)c1cccc2ccccc12,CS(C)=O,0.1
O=C1CC(=O)Nc2ccccc2N1,CS(C)=O,0.439
NCCc1c[nH]c2ccc(O)cc12,O,0.295
N#Cc1cc2ccccc2[nH]1,OCC(F)(F)F,0.137
O=C1c2ccccc2C(=O)N1c1ccc(Cn2cncn2)cc1,CCOCC,0.407
CCCCC(CC)COC(=O)/C=C\c1ccccc1OC,CCCCCC,0.129
Cc1ccc2occ(CC(=O)NN)c2c1,CCOC(C)=O,0.408
COc1cc(C(=O)O)ccc1O,CC(C)(C)O,0.309
COc1cc(C(=O)O)ccc1O,CC(C)O,0.336
COc1cc(C(=O)O)ccc1O,CC(C)CO,0.315
COc1cc(C(=O)O)ccc1O,CO,0.293
COc1cc(C(=O)O)ccc1O,O,0.324
CCOC(=O)CCOc1ccccc1C(c1c(C)[nH]c2ccccc12)c1c(C)[nH]c2ccccc12,CC#N,0.373
CCOC(=O)COc1ccc(C(c2c(C)[nH]c3ccccc23)c2c(C)[nH]c3ccccc23)cc1,CC#N,0.361
CCOC(=O)COc1ccc(C(c2c(C)[nH]c3ccccc23)c2c(C)[nH]c3ccccc23)cc1OC,CC#N,0.351
c1ccc(-c2ccc(-c3ccccc3)cc2)cc1,C1CCOC1,0.36
N#Cc1ccc2cc[nH]c2c1,C1COCCO1,0.278
COc1cc(OC)cc(-c2nnc(-c3cc(-c4nnc(-c5cc(OC)cc(OC)c5)o4)cc(-c4nnc(-c5cc(OC)cc(OC)c5)o4)c3)o2)c1,C1CCCCC1,0.372
COc1ccc2ccc(O)cc2c1,O,0.204
O=c1[nH]c(=O)c2scc([C@H]3C[C@H](O)[C@@H](CO)O3)c2[nH]1,CCOC(C)=O,0.18
c1ccc(-c2ccc3c(c2)C2(c4ccccc4-c4ccccc42)c2ccccc2-3)cc1,c1ccc(-c2ccc3c(c2)C2(c4ccccc4-c4ccccc42)c2ccccc2-3)cc1,0.584
Nc1ccc2c(c1)Cc1ccccc1-2,CCCCCC,0.497
Nc1ccc2c(c1)Cc1ccccc1-2,CCCCCCC,0.502
O=c1[nH]c(=O)n([C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)c2ccsc12,CC#N,0.309
CCOC(=O)COc1ccc(C(c2c(C)[nH]c3ccccc23)c2c(C)[nH]c3ccccc23)cc1,CO,0.337
CCOC(=O)CCOc1ccc(C(c2c(C)[nH]c3ccccc23)c2c(C)[nH]c3ccccc23)cc1OC,CC#N,0.359
c1ccc2[nH]ccc2c1,O,0.255
N#Cc1ccc2cc[nH]c2c1,C1CCOC1,0.285
O=c1[nH]c(=O)n([C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)c2ccsc12,CCOC(C)=O,0.318
O=c1[nH]c(=O)c2scc([C@H]3C[C@H](O)[C@@H](CO)O3)c2[nH]1,CC#N,0.165
CCOC(=O)CCOc1ccccc1C(c1c(C)[nH]c2ccccc12)c1c(C)[nH]c2ccccc12,CO,0.361
CCOC(=O)COc1ccc(C(c2c(C)[nH]c3ccccc23)c2c(C)[nH]c3ccccc23)cc1OC,CO,0.313
Cc1ccc2c(c1)NC(=O)CC(=O)N2,CS(C)=O,0.497
O=C1C=C(Nc2ccccc2)CCC1,CCO,0.228
N#Cc1ccc2[nH]ccc2c1,C1COCCO1,0.284
c1ccc2c(c1)-c1ccccc1C21c2ccccc2-c2ccncc21,CC1CCCO1,0.354
CCOC(=O)COc1ccccc1C(c1c(C)[nH]c2ccccc12)c1c(C)[nH]c2ccccc12,CC#N,0.341
CCOC(=O)CCOc1ccc(C(c2c(C)[nH]c3ccccc23)c2c(C)[nH]c3ccccc23)cc1,CC#N,0.36
N#Cc1ccc2[nH]ccc2c1,C1CCOC1,0.282
Cc1cc2c(cc1C)NC(=O)CC(=O)N2,CS(C)=O,0.47
Nc1ccc2c(c1)Cc1ccccc1-2,CCOCC,0.505
Cc1cc(-n2c3ccccc3c3ccccc32)ccc1-c1ccc(S(=O)(=O)c2ccccc2)cc1C,Cc1ccccc1,0.471
O=C1C=C(Nc2ccccc2)CCC1,C1COCCO1,0.278
O=C1C=C(Nc2ccccc2)CCC1,CN(C)C=O,0.286
CCOC(=O)COc1ccccc1C(c1c(C)[nH]c2ccccc12)c1c(C)[nH]c2ccccc12,CO,0.319
CCOC(=O)CCOc1ccc(C(c2c(C)[nH]c3ccccc23)c2c(C)[nH]c3ccccc23)cc1,CO,0.344
CCOC(=O)c1c(CSc2ccccc2)n(C)c2cc(Br)c(O)c(CN(C)C)c12,O,0.383
N#Cc1cc2ccccc2[nH]1,O,0.179
O=C1CC(=O)Nc2cc(Br)ccc2N1,CS(C)=O,0.46
Cc1cc2c(cc1[N+](=O)[O-])NC(=O)CC(=O)N2,CS(C)=O,0.18
c1ccc(-n2c3ccccc3c3cc([Si](c4ccccc4)(c4ccccc4)c4ccc5c(c4)c4ccccc4n5-c4ccccc4)ccc32)cc1,ClCCl,0.585
O=c1[nH]c(=O)n([C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)c2ccsc12,CO,0.287
CCOC(=O)COc1ccccc1C(c1c(C)[nH]c2ccccc12)c1c(C)[nH]c2ccccc12,O,0.298
CCOC(=O)CCOc1ccccc1C(c1c(C)[nH]c2ccccc12)c1c(C)[nH]c2ccccc12,O,0.332
CCOC(=O)COc1ccc(C(c2c(C)[nH]c3ccccc23)c2c(C)[nH]c3ccccc23)cc1,O,0.312
CCOC(=O)CCOc1ccc(C(c2c(C)[nH]c3ccccc23)c2c(C)[nH]c3ccccc23)cc1,O,0.35
CCOC(=O)COc1ccc(C(c2c(C)[nH]c3ccccc23)c2c(C)[nH]c3ccccc23)cc1OC,O,0.302
CCOC(=O)CCOc1ccc(C(c2c(C)[nH]c3ccccc23)c2c(C)[nH]c3ccccc23)cc1OC,CO,0.331
Oc1ccc2ccccc2c1,O,0.323
CCCCC(CC)COC(=O)/C=C/c1ccc(OC)c(OC)c1OC,CCCCCC,0.143
c1ccc(-n2c3ccccc3c3cc([Si](c4ccccc4)(c4ccccc4)c4ccc5c(c4)c4ccccc4n5-c4ccccc4)ccc32)cc1,c1ccc(-n2c3ccccc3c3cc([Si](c4ccccc4)(c4ccccc4)c4ccc5c(c4)c4ccccc4n5-c4ccccc4)ccc32)cc1,0.637
O=c1[nH]c(=O)n([C@@H]2O[C@H](CO)[C@@H](O)[C@H]2O)c2ccsc12,O,0.242
O=c1[nH]c(=O)c2scc([C@H]3C[C@H](O)[C@@H](CO)O3)c2[nH]1,O,0.161
O=c1[nH]c(=O)c2scc([C@H]3C[C@H](O)[C@@H](CO)O3)c2[nH]1,CO,0.165
CCOC(=O)CCOc1ccc(C(c2c(C)[nH]c3ccccc23)c2c(C)[nH]c3ccccc23)cc1OC,O,0.338
Cc1cc(-n2c3ccccc3c3cc(C#N)ccc32)ccc1-c1ccc(S(=O)(=O)c2ccccc2)cc1C,Cc1ccccc1,0.476
CCCCCCn1c2c(c3ccccc31)-c1c(c3ccccc3n1CCCCCC)-c1c(c3ccccc3n1CCCCCC)-c1c-2c2ccccc2n1CCCCCC,ClCCl,0.465
Nc1ccc2c(c1)Cc1ccccc1-2,ClCCl,0.547
N#Cc1ccc2cc[nH]c2c1,CC#N,0.272
CCCCC(CC)COC(=O)/C=C\c1ccc(OC)c(OC)c1OC,CCCCCC,0.143
O=P(c1ccccc1)(c1ccccc1)n1c2ccccc2c2ccccc21,ClCCl,0.402
O=C1c2ccccc2C(=O)N1c1ccc(Cn2cncn2)cc1,CCOC(C)=O,0.411
N#Cc1ccc2cc[nH]c2c1,CC(C)O,0.289
[NH3+]c1ccc2ccc(O)cc2c1,O,0.268
N#Cc1ccc2cc[nH]c2c1,CCO,0.248
CCCCC(CC)COC(=O)/C=C/c1ccccc1OC,CCCCCC,0.129
C[Si](C)(C)c1ccc(-c2nc3ccccc3n2-c2ccccc2)cc1,ClCCl,0.412
CC(C)(C)c1ccc2c(c1)c1cc(C(C)(C)C)ccc1n2-c1ccc(C#Cc2ccccc2)cc1,CCCCC,0.555
c1ccc2c(-n3cnc4ccccc43)cccc2c1,Cc1ccccc1,0.243
c1ccc2c(-n3cnc4ccccc43)cccc2c1,C1CCOC1,0.244
C[Si](C)(c1ccc(-c2nc3ccccc3n2-c2ccccc2)cc1)c1ccc(-c2nc3ccccc3n2-c2ccccc2)cc1,ClCCl,0.528
c1ccc2[nH]ccc2c1,O,0.255
Nc1ccc2c(c1)Cc1ccccc1-2,CCOC(C)=O,0.545
c1ccc(-n2c3ccccc3c3cc(-c4cccc(-n5c6ccccc6c6ncccc65)c4)ccc32)cc1,ClCCl,0.495
O=P(c1ccccc1)(c1ccccc1)n1c2ccccc2c2ccccc21,C1CCOC1,0.339
O=C(N/N=C/c1ccccc1O)c1cc2ccccc2cc1O,CC#N,0.131
C[Si](C)(C)c1sc([Si](C)(C)C)c2c1sc1c2sc2sc3sc4c(sc5c([Si](C)(C)C)sc([Si](C)(C)C)c54)c3c21,ClC(Cl)Cl,0.35
c1ccc2c(-n3cnc4ccccc43)cccc2c1,CCO,0.216
O=C1C=C(Nc2ccccc2)CCC1,CC#N,0.248
c1ccc(-n2c3ccccc3c3cc(-c4cccc(-n5c6ccccc6c6c7sc8ccccc8c7ccc65)c4)ccc32)cc1,ClCCl,0.504
O=C1c2ccccc2C(=O)N1c1ccc(Cn2cncn2)cc1,C1CCOC1,0.372
c1ccc2c(-n3cnc4ccccc43)cccc2c1,CCOCC,0.232
C[Si](c1ccc(-c2nc3ccccc3n2-c2ccccc2)cc1)(c1ccc(-c2nc3ccccc3n2-c2ccccc2)cc1)c1ccc(-c2nc3ccccc3n2-c2ccccc2)cc1,ClCCl,0.558
N#Cc1ccc2[nH]ccc2c1,CC#N,0.284
N#Cc1ccc2[nH]ccc2c1,CC(C)O,0.3
COc1ccc(C#Cc2ccc(-c3nn[nH]n3)cc2)cc1OC,CC#N,0.264
C[Si](C)(C)c1sc([Si](C)(C)C)c2c1sc1ccsc12,ClC(Cl)Cl,0.38
c1ccc2c(-n3cnc4ccccc43)cccc2c1,ClC(Cl)Cl,0.231
c1ccc2c(-n3cnc4ccccc43)cccc2c1,CC#N,0.204
O=C1C=C(Nc2ccccc2)CCC1,ClC(Cl)Cl,0.252
N#Cc1ccc2cc[nH]c2c1,CS(C)=O,0.247
c1ccc(-n2c(-c3ccc([Si](c4ccc(-c5nc6ccccc6n5-c5ccccc5)cc4)(c4ccc(-c5nc6ccccc6n5-c5ccccc5)cc4)c4ccc(-c5nc6ccccc6n5-c5ccccc5)cc4)cc3)nc3ccccc32)cc1,ClCCl,0.44
c1ccc(-c2cccc3c2-c2ccccc2C32c3ccccc3-c3ccccc32)cc1,c1ccc(-c2cccc3c2-c2ccccc2C32c3ccccc3-c3ccccc32)cc1,0.486
CCCCCCCCCCCCCCCCn1c(-c2cc(-c3nc4ccccc4n3CCCCCCCCCCCCCCCC)cc(-c3nc4ccccc4n3CCCCCCCCCCCCCCCC)c2)nc2ccccc21,C1CCOC1,0.432
CN(C)c1ccc(-c2cc(-c3ccc(C#N)cc3)nn2C)cc1,C1CCCCC1,0.335
N#Cc1ccc2[nH]ccc2c1,CCO,0.268
N#Cc1ccc2cc[nH]c2c1,OCC(F)(F)F,0.187
C(#Cc1ccc(-n2c3ccccc3c3ccccc32)cc1)c1ccccc1,Cc1ccccc1,0.464
c1ccc2cc(-n3c4ccccc4c4ccccc43)ccc2c1,Cc1ccccc1,0.443
COc1cccc(-n2c(-c3ccccc3)nc(C)c2C)c1,ClCCl,0.334
COc1cccc(-n2c(-c3ccc(O)cc3)nc(C)c2C)c1,CC#N,0.32
COc1ccc(C#Cc2ccc(-c3nn[nH]n3)cc2)cc1OC,CS(C)=O,0.262
c1ccc(COc2cc(C[n+]3ccc(-c4cc[n+](Cc5cc(OCc6ccccc6)cc(OCc6ccccc6)c5)cc4)cc3)cc(OCc3ccccc3)c2)cc1,CC#N,0.376
O=C1C=C(Nc2ccccc2)CCC1,CS(C)=O,0.263
COc1cccc(-n2c(-c3ccccc3)nc(C)c2C)c1,CCCCCC,0.298
COc1cccc(-n2c(-c3ccc(F)cc3)nc(C)c2C)c1,c1ccccc1,0.357
c1cncc(-c2cccc3c2-c2ccccc2C32c3ccccc3-c3ccccc32)c1,c1cncc(-c2cccc3c2-c2ccccc2C32c3ccccc3-c3ccccc32)c1,0.442
C(#Cc1cccc(C#Cc2ccc(-n3c4ccccc4c4ccccc43)cc2)c1)c1ccc(-n2c3ccccc3c3ccccc32)cc1,CCCCC,0.727
COc1cccc(-n2c(-c3ccccc3)nc(C)c2C)c1,C1COCCO1,0.326
COc1cccc(-n2c(-c3ccccc3)nc(C)c2C)c1,ClC(Cl)Cl,0.31
c1ccc(-c2cccc3c2-c2ccccc2C32c3ccccc3-c3ccccc32)nc1,c1ccc(-c2cccc3c2-c2ccccc2C32c3ccccc3-c3ccccc32)nc1,0.443
N#Cc1cccc2cc[nH]c12,C1COCCO1,0.351
N#Cc1ccc2[nH]ccc2c1,CO,0.256
N#Cc1ccc2cc[nH]c2c1,CO,0.252
CC(C)(C)c1cccc2c(O)cccc12,O,0.225
O=C1c2ccccc2C(=O)N1c1ccc(Cn2cncn2)cc1,ClCCl,0.459
COc1cccc(-n2c(-c3ccc(F)cc3)nc(C)c2C)c1,CCOC(C)=O,0.386
Clc1ccc(-c2nc3ccccc3n2-c2ccccc2)cc1,CC#N,0.263
N#Cc1cccc2cc[nH]c12,C1CCOC1,0.354
Nc1ccc2c(c1)Cc1ccccc1-2,CCO,0.498
CNc1ccc(/C=C/C#N)cc1,C1CCCCC1,0.19
CC(C)(C)c1ccc2c(c1)c1cc(C(C)(C)C)ccc1n2-c1cccs1,ClCCl,0.214
C(#Cc1cccc(C#Cc2ccc(-n3c4ccccc4c4ccccc43)cc2)c1)c1ccc(-n2c3ccccc3c3ccccc32)cc1,ClC(Cl)Cl,0.731
COc1ccc2c(CC(=O)NN)coc2c1,CCOC(C)=O,0.246
c1ccc2cc(-n3c4ccccc4c4ccccc43)ccc2c1,CCOCC,0.422
c1ccc2c(c1)c1ccccc1c1ncncc21,ClCCl,0.267
COc1cccc(-n2c(-c3ccccc3)nc(C)c2C)c1,CO,0.293
COc1cccc(-n2c(-c3ccc(F)cc3)nc(C)c2C)c1,ClCCl,0.376
COc1cccc(-n2c(-c3ccc(F)cc3)nc(C)c2C)c1,CO,0.305
COc1cccc(-n2c(-c3ccc(O)cc3)nc(C)c2C)c1,C1COCCO1,0.396
COc1cccc(-n2c(-c3ccc(O)cc3)nc(C)c2C)c1,CCOC(C)=O,0.356
c1ccc(-c2ccc(-c3ccc(-c4ccccc4)cc3)cc2)cc1,C1CCOC1,0.32
N#Cc1cccc2[nH]ccc12,C1COCCO1,0.184
Nc1ccc2c(c1)Cc1ccccc1-2,CC(C)O,0.538
COc1cccc(-n2c(-c3ccccc3)nc(C)c2C)c1,CCO,0.297
COc1cccc(-n2c(-c3ccc(F)cc3)nc(C)c2C)c1,CCCCCC,0.34
COc1cccc(-n2c(-c3ccc(F)cc3)nc(C)c2C)c1,C1COCCO1,0.401
COc1cccc(-n2c(-c3ccc(F)cc3)nc(C)c2C)c1,ClC(Cl)Cl,0.345
COc1cccc(-n2c(-c3ccc(O)cc3)nc(C)c2C)c1,ClCCl,0.357
COc1cccc(-n2c(-c3ccc(O)cc3)nc(C)c2C)c1,CO,0.265
OCC1O[C@@H](Cc2cc(O)cc(/C=C/c3ccc(O)c(O)c3)c2)[C@H](O)[C@@H](O)[C@@H]1O,C1COCCO1,0.261
O=C1C=C(Nc2ccccc2)CCC1,CO,0.241
COc1cccc(-n2c(-c3ccccc3)nc(C)c2C)c1,CCOC(C)=O,0.336
COc1cccc(-n2c(-c3ccccc3)nc(C)c2C)c1,CCCCO,0.31
COc1cccc(-n2c(-c3ccc(F)cc3)nc(C)c2C)c1,CCCCO,0.371
COc1cccc(-n2c(-c3ccc(O)cc3)nc(C)c2C)c1,CCCCCC,0.323
CC1(C)c2ccccc2-c2cc3c(cc21)c1ccccc1n3-c1ccncc1,ClCCl,0.305
c1ccc(-c2ccc(-c3ccccc3)cc2)cc1,c1ccc(-c2ccc(-c3ccccc3)cc2)cc1,0.289
N#Cc1cccc2[nH]ccc12,C1CCOC1,0.156
N#Cc1ccc2[nH]ccc2c1,CS(C)=O,0.269
OCC1O[C@@H](Cc2cc(O)cc(/C=C/c3ccc(O)c(O)c3)c2)[C@H](O)[C@@H](O)[C@@H]1O,Cc1ccccc1,0.259
Nc1ncnc2c1c(C#Cc1ccc3ccccc3c1)cn2[C@H]1C[C@H](O)[C@@H](CO)O1,CCO,0.152
O=C1C=C(Nc2ccccc2)CCC1,CCOCC,0.224
COc1cccc(-n2c(-c3ccc(F)cc3)nc(C)c2C)c1,CCO,0.335
COc1cccc(-n2c(-c3ccc(O)cc3)nc(C)c2C)c1,c1ccccc1,0.358
COc1cccc(-n2c(-c3ccc(O)cc3)nc(C)c2C)c1,CCCCO,0.334
CCCCCCCCCn1c(-c2cc(-c3nc4ccc(C)cc4n3CCCCCCCCC)cc(-c3nc4ccc(C)cc4n3CCCCCCCCC)c2)nc2ccc(C)cc21,C1CCOC1,0.415
O=S(=O)(c1ccc2c(c1)c1ccccc1n2-c1ccccc1)c1ccc2c(c1)c1ccccc1n2-c1ccccc1,ClCCl,0.444
O=P(c1ccccc1)(c1ccccc1)n1c2ccccc2c2ccccc21,Cc1ccccc1,0.349
O=P(c1ccccc1)(c1ccccc1)n1c2ccccc2c2cc(-n3c4ccccc4c4ccccc43)ccc21,Cc1ccccc1,0.418
c1ccc2c(c1)c1ccccc1n2-c1ccc2c(c1)c1ccccc1n2-c1ccc(-n2c3ccccc3c3cc(-n4c5ccccc5c5ccccc54)ccc32)cc1,Cc1ccccc1,0.727
c1ccc2c(c1)c1ccccc1n2-c1ccc2c(c1)c1ccccc1n2-c1ccc(-n2c3ccccc3c3cc(-n4c5ccccc5c5ccccc54)ccc32)cc1,C1CCOC1,0.55
N#Cc1cc(C#N)c(-c2cc(-n3c4ccccc4c4ccccc43)cc(-n3c4ccccc4c4ccccc43)c2)cc1-c1cc(-n2c3ccccc3c3ccccc32)cc(-n2c3ccccc3c3ccccc32)c1,Cc1ccccc1,0.525
COc1ccc(C(=O)/C=C2\C(=O)Nc3ccccc32)cc1,CC#N,0.174
OCC1O[C@@H](Cc2cc(O)cc(/C=C/c3ccc(O)c(O)c3)c2)[C@H](O)[C@@H](O)[C@@H]1O,CCOCC,0.25
OCC1O[C@@H](Cc2cc(O)cc(/C=C/c3ccc(O)c(O)c3)c2)[C@H](O)[C@@H](O)[C@@H]1O,CCOC(C)=O,0.251
O=C1C=C(Nc2ccccc2)CCC1,CC(C)O,0.251
COc1cccc(-n2c(-c3ccccc3)nc(C)c2C)c1,c1ccccc1,0.308
COc1cccc(-n2c(-c3ccc(O)cc3)nc(C)c2C)c1,ClC(Cl)Cl,0.339
COc1cccc(-n2c(-c3ccc(O)cc3)nc(C)c2C)c1,CCO,0.336
c1ccc2c(c1)-c1cc(-n3c4ccccc4c4ccccc43)ccc1C21c2ccccc2-n2c3ccccc3c3cccc1c32,ClCCl,0.515
CCC1(CC)c2ccccc2-c2c1c1c(c3c2C(CC)(CC)c2cc(B(c4c(C)cc(C)cc4C)c4c(C)cc(C)cc4C)ccc2-3)C(CC)(CC)c2ccccc2-1,CCCCCC,0.599
Nc1ccc(-c2ccc(N)cc2)cc1,CCCCCC,0.347
O=P(c1ccccc1)(c1ccccc1)n1c2ccccc2c2cc(-n3c4ccccc4c4cc(-n5c6ccccc6c6ccccc65)ccc43)ccc21,Cc1ccccc1,0.612
O=P(c1ccccc1)(c1ccccc1)n1c2ccccc2c2cc(-n3c4ccccc4c4cc(-n5c6ccccc6c6ccccc65)ccc43)ccc21,C1CCOC1,0.435
c1ccc2c(c1)c1ccccc1n2-c1cc(-c2nc3ccccn3n2)cc(-n2c3ccccc3c3ccccc32)c1,Cc1ccccc1,0.415
c1cc2ccc3ccc(-c4ccc(-c5nnc(-c6ccc(-c7nnc(-c8ccc(-c9ccc%10ccc%11cccc%12ccc9c%10c%11%12)s8)o7)cc6)o5)s4)c4ccc(c1)c2c34,CC(=O)N(C)C,0.401
c1cc2ccc3ccc(-c4ccc(-c5nnc(-c6ccc(-c7nnc(-c8ccc(-c9ccc%10ccc%11cccc%12ccc9c%10c%11%12)s8)o7)cc6)o5)s4)c4ccc(c1)c2c34,C1COCCO1,0.437
O=C(N/N=C/c1ccccc1O)c1ccccc1,CC#N,0.062
COc1ccc(C(=O)/C=C2\C(=O)Nc3ccccc32)cc1,C1COCCO1,0.191
OCC1O[C@@H](Cc2cc(O)cc(/C=C/c3ccc(O)c(O)c3)c2)[C@H](O)[C@@H](O)[C@@H]1O,ClC(Cl)Cl,0.265
COc1cccc(-n2c(-c3ccccc3)nc(C)c2C)c1,CC#N,0.333
CC1(C)c2ccccc2-c2cc3c(cc21)c1ccccc1n3-c1cccnc1,ClCCl,0.368
N#Cc1ccc2[nH]ccc2c1,OCC(F)(F)F,0.195
O=P(c1ccccc1)(c1ccccc1)n1c2ccccc2c2cc(-n3c4ccccc4c4cc(-n5c6ccccc6c6ccccc65)ccc43)ccc21,CC(C)=O,0.474
CC(C)(C)c1ccc(-c2c(-c3ccc(-n4c5ccccc5c5ccccc54)cc3)cc(-c3ccc(-n4c5ccccc5c5ccccc54)cc3)c(-c3ccc(C(C)(C)C)cc3)c2-c2ccc(C(C)(C)C)cc2)cc1,CC(C)(C)c1ccc(-c2c(-c3ccc(-n4c5ccccc5c5ccccc54)cc3)cc(-c3ccc(-n4c5ccccc5c5ccccc54)cc3)c(-c3ccc(C(C)(C)C)cc3)c2-c2ccc(C(C)(C)C)cc2)cc1,0.467
CC(C)(C)c1ccc2c(c1)c1cc(C(C)(C)C)ccc1n2-c1ccc(C#Cc2ccccc2)cc1,Cc1ccccc1,0.533
C(#Cc1cccc(C#Cc2ccc(-n3c4ccccc4c4ccccc43)cc2)c1)c1ccc(-n2c3ccccc3c3ccccc32)cc1,Cc1ccccc1,0.756
c1cc2ccc3ccc(-c4ccc(-c5nnc(-c6ccc(-c7nnc(-c8ccc(-c9ccc%10ccc%11cccc%12ccc9c%10c%11%12)s8)o7)cc6)o5)s4)c4ccc(c1)c2c34,CS(C)=O,0.436
COc1ccc2c(CC(=O)NN)coc2c1,CCO,0.229
c1ccc2cc(-n3c4ccccc4c4ccccc43)ccc2c1,C1CCOC1,0.443
c1ccc2cc(-n3cnc4ccccc43)ccc2c1,Cc1ccccc1,0.252
c1ccc2cc(-n3cnc4ccccc43)ccc2c1,C1CCOC1,0.243
O=C1Nc2ccccc2/C1=C/C(=O)c1ccccc1,CCCCCC,0.174
O=C1Nc2ccccc2/C1=C/C(=O)c1ccccc1,C1CCCCC1,0.159
